agent,step,time_s,x_m,y_m,heading_bin,yaw_rad,yaw_deg,primitive_id_to_next
0,0,0.0,0.5,0.2,0,0.0,0.0,1
0,1,0.5,0.6,0.2,0,0.0,0.0,0
0,2,1.0,0.6,0.2,0,0.0,0.0,0
0,3,1.5,0.6,0.2,0,0.0,0.0,0
0,4,2.0,0.6,0.2,0,0.0,0.0,0
0,5,2.5,0.6,0.2,0,0.0,0.0,0
0,6,3.0,0.6,0.2,0,0.0,0.0,21
0,7,3.5,0.512132034356,0.412132034356,1,0.7853981633974483,45.0,21
0,8,4.0,0.3,0.5,2,1.5707963267948966,90.0,
1,0,0.0,2.3,0.5,6,4.71238898038469,270.0,10
1,1,0.5,2.0,0.5,6,4.71238898038469,270.0,18
1,2,1.0,1.5,0.5,6,4.71238898038469,270.0,21
1,3,1.5,1.71213203436,0.587867965644,7,5.497787143782138,315.0,21
1,4,2.0,1.8,0.8,0,0.0,0.0,4
1,5,2.5,1.8,0.7,0,0.0,0.0,20
1,6,3.0,1.8,0.2,0,0.0,0.0,18
1,7,3.5,1.3,0.2,0,0.0,0.0,0
1,8,4.0,1.3,0.2,0,0.0,0.0,
2,0,0.0,1.3,0.8,4,3.141592653589793,180.0,0
2,1,0.5,1.3,0.8,4,3.141592653589793,180.0,14
2,2,1.0,0.9,0.8,4,3.141592653589793,180.0,2
2,3,1.5,0.8,0.8,4,3.141592653589793,180.0,1
2,4,2.0,0.9,0.8,4,3.141592653589793,180.0,0
2,5,2.5,0.9,0.8,4,3.141592653589793,180.0,1
2,6,3.0,1.0,0.8,4,3.141592653589793,180.0,17
2,7,3.5,1.5,0.8,4,3.141592653589793,180.0,6
2,8,4.0,1.3,0.8,4,3.141592653589793,180.0,
