agent,step,time_s,x_m,y_m,heading_bin,yaw_rad,yaw_deg,primitive_id_to_next
0,0,0.0,0.3,0.5,2,1.5707963267948966,90.0,2
0,1,0.5,0.2,0.5,2,1.5707963267948966,90.0,22
0,2,1.0,0.412132034356,0.412132034356,1,0.7853981633974483,45.0,22
0,3,1.5,0.5,0.2,0,0.0,0.0,
1,0,0.0,1.3,0.8,4,3.141592653589793,180.0,0
1,1,0.5,1.3,0.8,4,3.141592653589793,180.0,0
1,2,1.0,1.3,0.8,4,3.141592653589793,180.0,0
1,3,1.5,1.3,0.8,4,3.141592653589793,180.0,
2,0,0.0,2.3,0.5,6,4.71238898038469,270.0,0
2,1,0.5,2.3,0.5,6,4.71238898038469,270.0,0
2,2,1.0,2.3,0.5,6,4.71238898038469,270.0,0
2,3,1.5,2.3,0.5,6,4.71238898038469,270.0,
