agent,step,time_s,x_m,y_m,heading_bin,yaw_rad,yaw_deg,primitive_id_to_next
0,0,0.0,2.1,0.8,4,3.141592653589793,180.0,2
0,1,0.5,2.0,0.8,4,3.141592653589793,180.0,21
0,2,1.0,2.08786796564,0.587867965644,5,3.9269908169872414,225.0,21
0,3,1.5,2.3,0.5,6,4.71238898038469,270.0,
1,0,0.0,1.18786796564,0.512132034356,3,2.356194490192345,135.0,0
1,1,0.5,1.18786796564,0.512132034356,3,2.356194490192345,135.0,0
1,2,1.0,1.18786796564,0.512132034356,3,2.356194490192345,135.0,0
1,3,1.5,1.18786796564,0.512132034356,3,2.356194490192345,135.0,
2,0,0.0,0.5,0.2,0,0.0,0.0,0
2,1,0.5,0.5,0.2,0,0.0,0.0,0
2,2,1.0,0.5,0.2,0,0.0,0.0,0
2,3,1.5,0.5,0.2,0,0.0,0.0,
