agent,step,time_s,x_m,y_m,heading_bin,yaw_rad,yaw_deg,primitive_id_to_next
0,0,0.0,2.3,0.5,6,4.71238898038469,270.0,6
0,1,0.5,2.1,0.5,6,4.71238898038469,270.0,22
0,2,1.0,1.88786796564,0.587867965644,5,3.9269908169872414,225.0,22
0,3,1.5,1.8,0.8,4,3.141592653589793,180.0,18
0,4,2.0,1.3,0.8,4,3.141592653589793,180.0,
1,0,0.0,1.3,0.2,0,0.0,0.0,0
1,1,0.5,1.3,0.2,0,0.0,0.0,10
1,2,1.0,1.0,0.2,0,0.0,0.0,1
1,3,1.5,1.1,0.2,0,0.0,0.0,5
1,4,2.0,1.3,0.2,0,0.0,0.0,
2,0,0.0,0.3,0.5,2,1.5707963267948966,90.0,0
2,1,0.5,0.3,0.5,2,1.5707963267948966,90.0,0
2,2,1.0,0.3,0.5,2,1.5707963267948966,90.0,0
2,3,1.5,0.3,0.5,2,1.5707963267948966,90.0,0
2,4,2.0,0.3,0.5,2,1.5707963267948966,90.0,
