agent,step,time_s,x_m,y_m,heading_bin,yaw_rad,yaw_deg,primitive_id_to_next
0,0,0.0,0.512132034356,0.512132034356,1,0.7853981633974483,45.0,1
0,1,0.5,0.612132034356,0.512132034356,1,0.7853981633974483,45.0,4
0,2,1.0,0.612132034356,0.412132034356,1,0.7853981633974483,45.0,17
0,3,1.5,1.11213203436,0.412132034356,1,0.7853981633974483,45.0,21
0,4,2.0,0.9,0.5,2,1.5707963267948966,90.0,21
0,5,2.5,0.687867965644,0.412132034356,3,2.356194490192345,135.0,3
0,6,3.0,0.687867965644,0.512132034356,3,2.356194490192345,135.0,17
0,7,3.5,1.18786796564,0.512132034356,3,2.356194490192345,135.0,
1,0,0.0,2.1,0.2,4,3.141592653589793,180.0,0
1,1,0.5,2.1,0.2,4,3.141592653589793,180.0,0
1,2,1.0,2.1,0.2,4,3.141592653589793,180.0,0
1,3,1.5,2.1,0.2,4,3.141592653589793,180.0,0
1,4,2.0,2.1,0.2,4,3.141592653589793,180.0,0
1,5,2.5,2.1,0.2,4,3.141592653589793,180.0,0
1,6,3.0,2.1,0.2,4,3.141592653589793,180.0,0
1,7,3.5,2.1,0.2,4,3.141592653589793,180.0,
2,0,0.0,2.1,0.8,4,3.141592653589793,180.0,0
2,1,0.5,2.1,0.8,4,3.141592653589793,180.0,0
2,2,1.0,2.1,0.8,4,3.141592653589793,180.0,0
2,3,1.5,2.1,0.8,4,3.141592653589793,180.0,0
2,4,2.0,2.1,0.8,4,3.141592653589793,180.0,0
2,5,2.5,2.1,0.8,4,3.141592653589793,180.0,0
2,6,3.0,2.1,0.8,4,3.141592653589793,180.0,0
2,7,3.5,2.1,0.8,4,3.141592653589793,180.0,
