agent,step,time_s,x_m,y_m,heading_bin,yaw_rad,yaw_deg,primitive_id_to_next
0,0,0.0,0.5,0.2,0,0.0,0.0,3
0,1,0.5,0.5,0.3,0,0.0,0.0,9
0,2,1.0,0.8,0.3,0,0.0,0.0,19
0,3,1.5,0.8,0.8,0,0.0,0.0,22
0,4,2.0,0.712132034356,0.587867965644,7,5.497787143782138,315.0,22
0,5,2.5,0.5,0.5,6,4.71238898038469,270.0,17
0,6,3.0,1.0,0.5,6,4.71238898038469,270.0,
1,0,0.0,1.3,0.8,4,3.141592653589793,180.0,9
1,1,0.5,1.6,0.8,4,3.141592653589793,180.0,17
1,2,1.0,2.1,0.8,4,3.141592653589793,180.0,0
1,3,1.5,2.1,0.8,4,3.141592653589793,180.0,0
1,4,2.0,2.1,0.8,4,3.141592653589793,180.0,0
1,5,2.5,2.1,0.8,4,3.141592653589793,180.0,0
1,6,3.0,2.1,0.8,4,3.141592653589793,180.0,
2,0,0.0,2.1,0.2,4,3.141592653589793,180.0,0
2,1,0.5,2.1,0.2,4,3.141592653589793,180.0,0
2,2,1.0,2.1,0.2,4,3.141592653589793,180.0,0
2,3,1.5,2.1,0.2,4,3.141592653589793,180.0,0
2,4,2.0,2.1,0.2,4,3.141592653589793,180.0,0
2,5,2.5,2.1,0.2,4,3.141592653589793,180.0,0
2,6,3.0,2.1,0.2,4,3.141592653589793,180.0,
