scenario,profile,benchmark_repetition,solution_index,cost,found_at_search_ms,weight,waypoints_csv,samples_csv,smooth_gif,waypoints_gif
01_one_agent_cross_workspace,staged_w10_3to4_a3_lazy,2,0,6.5,14.886916,10.0,01_one_agent_cross_workspace/solution_00_cost_6p5_waypoints.csv,01_one_agent_cross_workspace/solution_00_cost_6p5_samples.csv,01_one_agent_cross_workspace/solution_00_cost_6p5_smooth.gif,01_one_agent_cross_workspace/solution_00_cost_6p5_waypoints.gif
02_one_agent_short_turn,staged_w10_3to4_a3_lazy,1,0,4.0,0.085981,10.0,02_one_agent_short_turn/solution_00_cost_4_waypoints.csv,02_one_agent_short_turn/solution_00_cost_4_samples.csv,02_one_agent_short_turn/solution_00_cost_4_smooth.gif,02_one_agent_short_turn/solution_00_cost_4_waypoints.gif
03_one_agent_top_reorient,staged_w3_4to12,4,0,3.5,0.563966,3.0,03_one_agent_top_reorient/solution_00_cost_3p5_waypoints.csv,03_one_agent_top_reorient/solution_00_cost_3p5_samples.csv,03_one_agent_top_reorient/solution_00_cost_3p5_smooth.gif,03_one_agent_top_reorient/solution_00_cost_3p5_waypoints.gif
03_one_agent_top_reorient,staged_w3_4to12,4,1,3.0,42.223709,3.0,03_one_agent_top_reorient/solution_01_cost_3_waypoints.csv,03_one_agent_top_reorient/solution_01_cost_3_samples.csv,03_one_agent_top_reorient/solution_01_cost_3_smooth.gif,03_one_agent_top_reorient/solution_01_cost_3_waypoints.gif
04_two_agent_relocation,staged_w10_3to8_a3,3,0,4.5,0.424333,10.0,04_two_agent_relocation/solution_00_cost_4p5_waypoints.csv,04_two_agent_relocation/solution_00_cost_4p5_samples.csv,04_two_agent_relocation/solution_00_cost_4p5_smooth.gif,04_two_agent_relocation/solution_00_cost_4p5_waypoints.gif
04_two_agent_relocation,staged_w10_3to8_a3,3,1,4.0,4.278505,10.0,04_two_agent_relocation/solution_01_cost_4_waypoints.csv,04_two_agent_relocation/solution_01_cost_4_samples.csv,04_two_agent_relocation/solution_01_cost_4_smooth.gif,04_two_agent_relocation/solution_01_cost_4_waypoints.gif
04_two_agent_relocation,staged_w10_3to8_a3,3,2,3.5,15.257181,1.2,04_two_agent_relocation/solution_02_cost_3p5_waypoints.csv,04_two_agent_relocation/solution_02_cost_3p5_samples.csv,04_two_agent_relocation/solution_02_cost_3p5_smooth.gif,04_two_agent_relocation/solution_02_cost_3p5_waypoints.gif
05_two_agent_crossing,fast_w10_b3_a3,5,0,9.5,3.818628,10.0,05_two_agent_crossing/solution_00_cost_9p5_waypoints.csv,05_two_agent_crossing/solution_00_cost_9p5_samples.csv,05_two_agent_crossing/solution_00_cost_9p5_smooth.gif,05_two_agent_crossing/solution_00_cost_9p5_waypoints.gif
05_two_agent_crossing,fast_w10_b3_a3,5,1,7.0,28.007603,1.9,05_two_agent_crossing/solution_01_cost_7_waypoints.csv,05_two_agent_crossing/solution_01_cost_7_samples.csv,05_two_agent_crossing/solution_01_cost_7_smooth.gif,05_two_agent_crossing/solution_01_cost_7_waypoints.gif
06_two_agent_diagonal,staged_w3_4to12,5,0,6.0,4.58254,3.0,06_two_agent_diagonal/solution_00_cost_6_waypoints.csv,06_two_agent_diagonal/solution_00_cost_6_samples.csv,06_two_agent_diagonal/solution_00_cost_6_smooth.gif,06_two_agent_diagonal/solution_00_cost_6_waypoints.gif
06_two_agent_diagonal,staged_w3_4to12,5,1,5.0,43.557975,3.0,06_two_agent_diagonal/solution_01_cost_5_waypoints.csv,06_two_agent_diagonal/solution_01_cost_5_samples.csv,06_two_agent_diagonal/solution_01_cost_5_smooth.gif,06_two_agent_diagonal/solution_01_cost_5_waypoints.gif
07_three_agent_relay,staged_w5_4to8,5,0,6.5,2.677889,5.0,07_three_agent_relay/solution_00_cost_6p5_waypoints.csv,07_three_agent_relay/solution_00_cost_6p5_samples.csv,07_three_agent_relay/solution_00_cost_6p5_smooth.gif,07_three_agent_relay/solution_00_cost_6p5_waypoints.gif
07_three_agent_relay,staged_w5_4to8,5,1,5.5,15.25398,5.0,07_three_agent_relay/solution_01_cost_5p5_waypoints.csv,07_three_agent_relay/solution_01_cost_5p5_samples.csv,07_three_agent_relay/solution_01_cost_5p5_smooth.gif,07_three_agent_relay/solution_01_cost_5p5_waypoints.gif
08_three_agent_dense,fast_w10_b3_a3,5,0,9.0,6.228437,10.0,08_three_agent_dense/solution_00_cost_9_waypoints.csv,08_three_agent_dense/solution_00_cost_9_samples.csv,08_three_agent_dense/solution_00_cost_9_smooth.gif,08_three_agent_dense/solution_00_cost_9_waypoints.gif
08_three_agent_dense,fast_w10_b3_a3,5,1,7.5,10.795008,2.3,08_three_agent_dense/solution_01_cost_7p5_waypoints.csv,08_three_agent_dense/solution_01_cost_7p5_samples.csv,08_three_agent_dense/solution_01_cost_7p5_smooth.gif,08_three_agent_dense/solution_01_cost_7p5_waypoints.gif
09_three_agent_diagonal,staged_w5_3to4_a3,2,0,6.5,10.113887,5.0,09_three_agent_diagonal/solution_00_cost_6p5_waypoints.csv,09_three_agent_diagonal/solution_00_cost_6p5_samples.csv,09_three_agent_diagonal/solution_00_cost_6p5_smooth.gif,09_three_agent_diagonal/solution_00_cost_6p5_waypoints.gif
10_three_agent_swap_and_exit,narrow_w5_b4,4,0,8.5,9.332162,5.0,10_three_agent_swap_and_exit/solution_00_cost_8p5_waypoints.csv,10_three_agent_swap_and_exit/solution_00_cost_8p5_samples.csv,10_three_agent_swap_and_exit/solution_00_cost_8p5_smooth.gif,10_three_agent_swap_and_exit/solution_00_cost_8p5_waypoints.gif
10_three_agent_swap_and_exit,narrow_w5_b4,4,1,6.5,38.567042,2.3,10_three_agent_swap_and_exit/solution_01_cost_6p5_waypoints.csv,10_three_agent_swap_and_exit/solution_01_cost_6p5_samples.csv,10_three_agent_swap_and_exit/solution_01_cost_6p5_smooth.gif,10_three_agent_swap_and_exit/solution_01_cost_6p5_waypoints.gif
10_three_agent_swap_and_exit,narrow_w5_b4,4,2,6.0,56.121219,1.3,10_three_agent_swap_and_exit/solution_02_cost_6_waypoints.csv,10_three_agent_swap_and_exit/solution_02_cost_6_samples.csv,10_three_agent_swap_and_exit/solution_02_cost_6_smooth.gif,10_three_agent_swap_and_exit/solution_02_cost_6_waypoints.gif
11_three_agent_fast_cycle,staged_w5_3to4_a3,4,0,7.0,1.872293,5.0,11_three_agent_fast_cycle/solution_00_cost_7_waypoints.csv,11_three_agent_fast_cycle/solution_00_cost_7_samples.csv,11_three_agent_fast_cycle/solution_00_cost_7_smooth.gif,11_three_agent_fast_cycle/solution_00_cost_7_waypoints.gif
11_three_agent_fast_cycle,staged_w5_3to4_a3,4,1,6.5,3.170045,5.0,11_three_agent_fast_cycle/solution_01_cost_6p5_waypoints.csv,11_three_agent_fast_cycle/solution_01_cost_6p5_samples.csv,11_three_agent_fast_cycle/solution_01_cost_6p5_smooth.gif,11_three_agent_fast_cycle/solution_01_cost_6p5_waypoints.gif
11_three_agent_fast_cycle,staged_w5_3to4_a3,4,2,6.0,9.335968,1.4,11_three_agent_fast_cycle/solution_02_cost_6_waypoints.csv,11_three_agent_fast_cycle/solution_02_cost_6_samples.csv,11_three_agent_fast_cycle/solution_02_cost_6_smooth.gif,11_three_agent_fast_cycle/solution_02_cost_6_waypoints.gif
12_one_agent_left_dock,staged_w10_3to4_a3_lazy,3,0,1.5,0.051099,10.0,12_one_agent_left_dock/solution_00_cost_1p5_waypoints.csv,12_one_agent_left_dock/solution_00_cost_1p5_samples.csv,12_one_agent_left_dock/solution_00_cost_1p5_smooth.gif,12_one_agent_left_dock/solution_00_cost_1p5_waypoints.gif
13_one_agent_right_dock,staged_w10_3to4_a3_lazy,2,0,1.5,0.049972,10.0,13_one_agent_right_dock/solution_00_cost_1p5_waypoints.csv,13_one_agent_right_dock/solution_00_cost_1p5_samples.csv,13_one_agent_right_dock/solution_00_cost_1p5_smooth.gif,13_one_agent_right_dock/solution_00_cost_1p5_waypoints.gif
14_one_agent_bottom_reverse,staged_w2_4to8,2,0,3.5,0.832609,2.0,14_one_agent_bottom_reverse/solution_00_cost_3p5_waypoints.csv,14_one_agent_bottom_reverse/solution_00_cost_3p5_samples.csv,14_one_agent_bottom_reverse/solution_00_cost_3p5_smooth.gif,14_one_agent_bottom_reverse/solution_00_cost_3p5_waypoints.gif
15_one_agent_top_transfer,staged_w10_3to4_a3_lazy,4,0,2.0,0.231903,10.0,15_one_agent_top_transfer/solution_00_cost_2_waypoints.csv,15_one_agent_top_transfer/solution_00_cost_2_samples.csv,15_one_agent_top_transfer/solution_00_cost_2_smooth.gif,15_one_agent_top_transfer/solution_00_cost_2_waypoints.gif
16_one_agent_diagonal_goal,staged_w5_3to4_a3,5,0,8.5,8.791586,5.0,16_one_agent_diagonal_goal/solution_00_cost_8p5_waypoints.csv,16_one_agent_diagonal_goal/solution_00_cost_8p5_samples.csv,16_one_agent_diagonal_goal/solution_00_cost_8p5_smooth.gif,16_one_agent_diagonal_goal/solution_00_cost_8p5_waypoints.gif
17_one_agent_diagonal_shift,staged_w10_3to4_a3_lazy,3,0,3.5,0.176386,10.0,17_one_agent_diagonal_shift/solution_00_cost_3p5_waypoints.csv,17_one_agent_diagonal_shift/solution_00_cost_3p5_samples.csv,17_one_agent_diagonal_shift/solution_00_cost_3p5_smooth.gif,17_one_agent_diagonal_shift/solution_00_cost_3p5_waypoints.gif
18_one_agent_top_lane,staged_w10_3to4_a3_lazy,5,0,4.0,0.26592,10.0,18_one_agent_top_lane/solution_00_cost_4_waypoints.csv,18_one_agent_top_lane/solution_00_cost_4_samples.csv,18_one_agent_top_lane/solution_00_cost_4_smooth.gif,18_one_agent_top_lane/solution_00_cost_4_waypoints.gif
19_two_agent_diverge,staged_w10_3to8_a3,3,0,4.5,0.426279,10.0,19_two_agent_diverge/solution_00_cost_4p5_waypoints.csv,19_two_agent_diverge/solution_00_cost_4p5_samples.csv,19_two_agent_diverge/solution_00_cost_4p5_smooth.gif,19_two_agent_diverge/solution_00_cost_4p5_waypoints.gif
19_two_agent_diverge,staged_w10_3to8_a3,3,1,4.0,2.337032,10.0,19_two_agent_diverge/solution_01_cost_4_waypoints.csv,19_two_agent_diverge/solution_01_cost_4_samples.csv,19_two_agent_diverge/solution_01_cost_4_smooth.gif,19_two_agent_diverge/solution_01_cost_4_waypoints.gif
19_two_agent_diverge,staged_w10_3to8_a3,3,2,3.5,13.013891,1.2,19_two_agent_diverge/solution_02_cost_3p5_waypoints.csv,19_two_agent_diverge/solution_02_cost_3p5_samples.csv,19_two_agent_diverge/solution_02_cost_3p5_smooth.gif,19_two_agent_diverge/solution_02_cost_3p5_waypoints.gif
20_two_agent_center_exchange,staged_w10_3to4_a3_lazy,3,0,2.5,0.443678,10.0,20_two_agent_center_exchange/solution_00_cost_2p5_waypoints.csv,20_two_agent_center_exchange/solution_00_cost_2p5_samples.csv,20_two_agent_center_exchange/solution_00_cost_2p5_smooth.gif,20_two_agent_center_exchange/solution_00_cost_2p5_waypoints.gif
20_two_agent_center_exchange,staged_w10_3to4_a3_lazy,3,1,2.0,1.494474,10.0,20_two_agent_center_exchange/solution_01_cost_2_waypoints.csv,20_two_agent_center_exchange/solution_01_cost_2_samples.csv,20_two_agent_center_exchange/solution_01_cost_2_smooth.gif,20_two_agent_center_exchange/solution_01_cost_2_waypoints.gif
21_two_agent_long_relocation,staged_w5_3to8_a3,1,0,3.0,0.34898,5.0,21_two_agent_long_relocation/solution_00_cost_3_waypoints.csv,21_two_agent_long_relocation/solution_00_cost_3_samples.csv,21_two_agent_long_relocation/solution_00_cost_3_smooth.gif,21_two_agent_long_relocation/solution_00_cost_3_waypoints.gif
21_two_agent_long_relocation,staged_w5_3to8_a3,1,1,2.5,5.69996,5.0,21_two_agent_long_relocation/solution_01_cost_2p5_waypoints.csv,21_two_agent_long_relocation/solution_01_cost_2p5_samples.csv,21_two_agent_long_relocation/solution_01_cost_2p5_smooth.gif,21_two_agent_long_relocation/solution_01_cost_2p5_waypoints.gif
22_two_agent_vertical_top,staged_w5_3to8_a3,2,0,5.0,0.44881,5.0,22_two_agent_vertical_top/solution_00_cost_5_waypoints.csv,22_two_agent_vertical_top/solution_00_cost_5_samples.csv,22_two_agent_vertical_top/solution_00_cost_5_smooth.gif,22_two_agent_vertical_top/solution_00_cost_5_waypoints.gif
22_two_agent_vertical_top,staged_w5_3to8_a3,2,1,4.0,7.171873,5.0,22_two_agent_vertical_top/solution_01_cost_4_waypoints.csv,22_two_agent_vertical_top/solution_01_cost_4_samples.csv,22_two_agent_vertical_top/solution_01_cost_4_smooth.gif,22_two_agent_vertical_top/solution_01_cost_4_waypoints.gif
23_two_agent_top_to_center,staged_w10_3to4_a3_lazy,4,0,10.0,1.909576,10.0,23_two_agent_top_to_center/solution_00_cost_10_waypoints.csv,23_two_agent_top_to_center/solution_00_cost_10_samples.csv,23_two_agent_top_to_center/solution_00_cost_10_smooth.gif,23_two_agent_top_to_center/solution_00_cost_10_waypoints.gif
23_two_agent_top_to_center,staged_w10_3to4_a3_lazy,4,1,9.0,4.652883,10.0,23_two_agent_top_to_center/solution_01_cost_9_waypoints.csv,23_two_agent_top_to_center/solution_01_cost_9_samples.csv,23_two_agent_top_to_center/solution_01_cost_9_smooth.gif,23_two_agent_top_to_center/solution_01_cost_9_waypoints.gif
23_two_agent_top_to_center,staged_w10_3to4_a3_lazy,4,2,8.0,37.08496,2.2,23_two_agent_top_to_center/solution_02_cost_8_waypoints.csv,23_two_agent_top_to_center/solution_02_cost_8_samples.csv,23_two_agent_top_to_center/solution_02_cost_8_smooth.gif,23_two_agent_top_to_center/solution_02_cost_8_waypoints.gif
