scenario,agent,moves,start_x_m,start_y_m,start_heading_deg,goal_x_m,goal_y_m,goal_heading_deg
01_one_agent_cross_workspace,0,True,0.3,0.5,90.0,2.3,0.5,270.0
01_one_agent_cross_workspace,1,False,1.3,0.2,0.0,1.3,0.2,0.0
01_one_agent_cross_workspace,2,False,1.3,0.8,180.0,1.3,0.8,180.0
02_one_agent_short_turn,0,True,0.3,0.5,90.0,1.0,0.5,270.0
02_one_agent_short_turn,1,False,2.1,0.2,180.0,2.1,0.2,180.0
02_one_agent_short_turn,2,False,2.1,0.8,180.0,2.1,0.8,180.0
03_one_agent_top_reorient,0,True,1.3,0.8,180.0,1.3,0.8,0.0
03_one_agent_top_reorient,1,False,0.5,0.2,0.0,0.5,0.2,0.0
03_one_agent_top_reorient,2,False,2.1,0.2,180.0,2.1,0.2,180.0
04_two_agent_relocation,0,True,0.5,0.2,0.0,0.3,0.5,90.0
04_two_agent_relocation,1,True,2.3,0.5,270.0,1.3,0.2,0.0
04_two_agent_relocation,2,False,1.3,0.8,180.0,1.3,0.8,180.0
05_two_agent_crossing,0,True,0.5,0.2,0.0,2.1,0.8,180.0
05_two_agent_crossing,1,True,2.3,0.5,270.0,1.3,0.2,0.0
05_two_agent_crossing,2,False,0.5,0.8,0.0,0.5,0.8,0.0
06_two_agent_diagonal,0,True,1.3,0.2,0.0,2.1,0.2,180.0
06_two_agent_diagonal,1,True,0.5,0.5,45.0,1.2,0.5,135.0
06_two_agent_diagonal,2,False,2.1,0.8,180.0,2.1,0.8,180.0
07_three_agent_relay,0,True,2.1,0.2,180.0,2.1,0.8,180.0
07_three_agent_relay,1,True,1.3,0.8,180.0,0.5,0.2,0.0
07_three_agent_relay,2,True,0.3,0.5,90.0,2.1,0.2,180.0
08_three_agent_dense,0,True,2.1,0.2,180.0,0.3,0.5,90.0
08_three_agent_dense,1,True,2.1,0.8,180.0,1.3,0.8,180.0
08_three_agent_dense,2,True,0.3,0.5,90.0,2.3,0.5,270.0
09_three_agent_diagonal,0,True,0.5,0.2,0.0,2.0,0.5,225.0
09_three_agent_diagonal,1,True,2.1,0.2,180.0,1.3,0.8,180.0
09_three_agent_diagonal,2,True,1.3,0.8,180.0,0.3,0.5,90.0
